,City,Cloudiness(%),Country,Date,Humidity(%),Latitude,Longitude,Max Temperature(F),Wind Speed(mph)
0,Mahébourg,75,MU,1623884028,78,-20.4081,57.7,73.69,13.8
1,Rikitea,98,PF,1623884028,80,-23.1203,-134.9692,74.08,23.51
2,Caluquembe,15,AO,1623884028,52,-13.7833,14.6833,53.96,3.94
3,Salalah,81,OM,1623884029,86,17.0151,54.0924,81.88,4.63
4,Jaumave,12,MX,1623884029,50,23.4167,-99.3833,81.95,6.04
5,Vegreville,27,CA,1623884029,22,53.5001,-112.0518,72.14,21.85
6,Nome,85,US,1623884018,61,64.5011,-165.4064,62.17,7.87
7,Barrow,16,US,1623884030,57,71.2906,-156.7887,49.68,4.65
8,Luleå,22,SE,1623884030,71,65.5842,22.1547,46.47,4.61
9,Jamestown,1,US,1623883919,45,42.097,-79.2353,63.72,5.99
10,Hithadhoo,73,MV,1623884030,74,-0.6,73.0833,83.52,7.43
11,Linguère,0,SN,1623884031,45,15.3953,-15.1193,89.82,11.5
12,Port Elizabeth,0,ZA,1623883852,77,-33.918,25.5701,61.09,5.75
13,Mar del Plata,90,AR,1623883977,67,-38.0023,-57.5575,46.0,7.0
14,Severo-Kuril'sk,72,RU,1623884031,79,50.6789,156.125,48.6,7.87
15,Aswān,0,EG,1623884032,20,24.0934,32.907,84.58,13.27
16,Iracoubo,100,GF,1623884032,88,5.4802,-53.2011,77.88,9.55
17,Tupik,100,RU,1623884032,93,54.4253,119.9327,48.7,23.06
18,Ahipara,3,NZ,1623884032,71,-35.1667,173.1667,61.18,10.31
19,Atuona,21,PF,1623884033,77,-9.8,-139.0333,79.41,24.29
20,Cape Town,75,ZA,1623884033,88,-33.9258,18.4232,59.88,4.0
21,Kungurtug,69,RU,1623884033,88,50.5994,97.5228,40.68,1.23
22,Bengkulu,89,ID,1623884034,89,-3.8004,102.2655,74.68,3.51
23,Nikolskoye,85,RU,1623884034,66,59.7035,30.7861,55.29,4.97
24,Paamiut,51,GL,1623884034,86,61.994,-49.6678,37.62,13.02
25,Bilibino,96,RU,1623884034,74,68.0546,166.4372,47.14,4.76
26,Avarua,20,CK,1623884035,78,-21.2078,-159.775,78.85,17.27
27,Havelock,20,US,1623884035,69,34.8791,-76.9013,84.43,1.01
28,Beloha,15,MG,1623884035,80,-25.1667,45.05,61.7,8.55
29,Bethel,3,US,1623884036,53,41.3712,-73.414,75.02,6.55
30,Port-Gentil,75,GA,1623884036,83,-0.7193,8.7815,80.56,10.36
31,Vaini,75,TO,1623884036,83,-21.2,-175.2,78.96,8.05
32,Lamar,40,US,1623884037,43,33.6668,-95.5836,95.16,4.61
33,Qaanaaq,99,GL,1623884037,79,77.484,-69.3632,35.89,2.48
34,Asău,83,RO,1623884037,96,46.4333,26.4,61.39,6.67
35,Punta Arenas,0,CL,1623883838,93,-53.15,-70.9167,33.91,4.61
36,Chui,100,UY,1623884037,78,-33.6971,-53.4616,50.09,9.55
37,Cabo San Lucas,8,MX,1623884038,62,22.8909,-109.9124,100.81,15.77
38,Mataura,93,NZ,1623884038,92,-46.1927,168.8643,42.48,2.66
39,Tanete,96,ID,1623884038,93,-3.9443,119.7848,74.57,3.96
40,George Town,20,MY,1623884039,91,5.4112,100.3354,82.33,3.0
41,Ushuaia,0,AR,1623884039,75,-54.8,-68.3,37.06,6.91
42,Tuktoyaktuk,75,CA,1623884039,93,69.4541,-133.0374,41.0,17.27
43,Busselton,0,AU,1623884039,80,-33.65,115.3333,38.08,7.02
44,Baker City,0,US,1623884040,40,44.7749,-117.8344,76.15,5.57
45,Esperance,100,AU,1623884040,72,-33.8667,121.9,51.64,10.2
46,São João da Barra,57,BR,1623883776,81,-21.6403,-41.0511,68.18,9.82
47,Airai,42,TL,1623884040,70,-8.9266,125.4092,58.8,2.95
48,Araouane,3,ML,1623884041,12,18.9048,-3.5265,96.24,7.23
49,Cockburn Town,23,TC,1623884041,82,21.4612,-71.1419,81.0,20.74
50,Siguiri,78,GN,1623884041,70,11.6667,-9.5,79.83,3.58
51,Mossamedes,18,AO,1623884042,69,-15.1961,12.1522,66.15,6.55
