,City,Cloudiness(%),Country,Date,Humidity(%),Latitude,Longitude,Max Temperature(F),Wind Speed(mph)
0,Andra,100,RU,1612749865,92,62.5147,65.8878,-4.16,7.56
1,Leningradskiy,4,RU,1612749877,86,69.3833,178.4167,-15.84,8.37
2,Leh,45,IN,1612749877,58,34.1667,77.5833,11.59,1.95
3,Santa Lucía,20,ES,1612749877,72,27.9117,-15.5407,60.8,8.05
4,Mataura,100,NZ,1612749877,44,-46.1927,168.8643,73.56,2.59
5,Cape Town,0,ZA,1612749756,72,-33.9258,18.4232,66.0,12.66
6,Dikson,90,RU,1612749878,85,73.5069,80.5464,-32.17,17.13
7,Ladispoli,20,IT,1612749878,76,41.9537,12.0735,52.0,12.66
8,Derzhavīnsk,100,KZ,1612749878,93,51.1,66.3167,5.86,11.27
9,Kapaa,20,US,1612749878,53,22.0752,-159.319,73.4,6.91
10,Lima,0,PE,1612749617,78,-12.0432,-77.0282,77.0,11.5
11,Bengkulu,73,ID,1612750027,62,-3.8004,102.2655,83.35,2.55
12,Kiruna,90,SE,1612749879,79,67.8557,20.2251,17.6,4.61
13,Jamestown,90,US,1612749629,72,42.097,-79.2353,12.99,10.36
14,Acaraú,50,BR,1612749710,83,-2.8856,-40.12,79.52,12.71
15,Bentiu,5,SS,1612749880,27,9.2333,29.8333,63.3,6.02
16,Departamento de Maldonado,75,UY,1612749880,83,-34.6667,-54.9167,70.0,11.5
17,Tigil',1,RU,1612749880,91,57.8,158.6667,28.09,19.53
18,Pangnirtung,0,CA,1612750028,77,66.1451,-65.7125,23.81,6.31
19,Arman',100,RU,1612749881,84,59.7,150.1667,12.25,18.72
20,Qaanaaq,100,GL,1612749881,86,77.484,-69.3632,16.32,6.24
21,Bredasdorp,15,ZA,1612749881,82,-34.5322,20.0403,57.2,5.75
22,Tilichiki,100,RU,1612749881,94,60.4667,166.1,16.54,10.63
23,Hermanus,0,ZA,1612749881,76,-34.4187,19.2345,63.0,5.99
24,Atuona,22,PF,1612749882,74,-9.8,-139.0333,79.34,19.44
25,Khatanga,34,RU,1612750030,80,71.9667,102.5,-26.55,12.62
26,Albany,43,US,1612749607,54,42.6001,-73.9662,25.0,1.99
27,Bilma,100,NE,1612749882,26,18.6853,12.9164,62.37,5.5
28,Pevek,0,RU,1612749882,83,69.7008,170.3133,-6.75,2.42
29,Mercedes,0,AR,1612749883,84,-34.6515,-59.4307,71.01,5.99
30,Punta Arenas,75,CL,1612749883,47,-53.15,-70.9167,59.0,10.36
31,Cherskiy,0,RU,1612749883,72,68.75,161.3,5.72,3.0
32,Sisimiut,1,GL,1612749586,79,66.9395,-53.6735,24.3,16.35
33,Ribeira Grande,2,PT,1612749883,79,38.5167,-28.7,58.55,15.86
34,Eyl,2,SO,1612749884,84,7.9803,49.8164,72.91,14.52
35,Kiryat Gat,0,IL,1612749884,93,31.61,34.7642,54.0,2.3
36,Argalastí,20,GR,1612749884,100,39.2333,23.2167,59.0,7.87
37,Hilo,75,US,1612750023,61,19.7297,-155.09,77.0,8.05
38,Laas,90,IT,1612749884,86,46.6166,10.7002,39.99,9.22
39,Rikitea,59,PF,1612749885,71,-23.1203,-134.9692,77.49,13.18
40,São João da Barra,100,BR,1612749885,94,-21.6403,-41.0511,69.84,6.78
41,Nikolskoye,75,RU,1612750033,86,59.7035,30.7861,15.8,6.71
42,Lishui,100,CN,1612749885,80,28.4604,119.9103,50.83,4.85
43,Torbay,20,CA,1612749798,69,47.6666,-52.7314,30.0,32.21
44,Yellowknife,40,CA,1612750022,67,62.456,-114.3525,-33.0,8.05
45,Jumla,0,NP,1612749886,52,29.2747,82.1838,37.9,5.66
46,Chokurdakh,99,RU,1612749886,89,70.6333,147.9167,-14.62,7.45
47,Bluff,100,NZ,1612749668,62,-46.6,168.3333,64.18,8.77
48,Ancud,0,CL,1612749887,72,-41.8697,-73.8203,63.0,4.61
49,Aloguinsan,90,PH,1612749887,94,10.2219,123.5483,77.0,4.61
50,Shimoda,20,JP,1612749887,50,34.6667,138.95,53.6,14.97
51,Constitución,11,CL,1612749656,91,-35.3333,-72.4167,57.38,6.38
52,Takoradze,21,GH,1612749887,87,4.8845,-1.7554,79.95,9.44
53,Arlit,100,NE,1612749888,22,18.7369,7.3853,64.67,3.58
54,Oktyabr'skoye,100,RU,1612749888,100,43.0645,44.7417,26.6,8.95
55,Port Hedland,18,AU,1612749888,51,-20.3167,118.5667,86.0,11.5
56,Airai,100,TL,1612749888,85,-8.9266,125.4092,71.28,3.96
57,Saskylakh,43,RU,1612749889,80,71.9167,114.0833,-36.51,11.77
58,Serro,100,BR,1612749889,95,-18.6047,-43.3794,66.67,1.48
59,Tuktoyaktuk,40,CA,1612749889,68,69.4541,-133.0374,-27.4,9.22
60,Spearfish,20,US,1612749889,77,44.4908,-103.8594,-5.01,4.61
61,Zhangye,63,CN,1612749889,62,38.9342,100.4517,34.43,4.74
62,Busselton,67,AU,1612749847,97,-33.65,115.3333,66.0,5.01
63,Akdepe,0,TM,1612749890,87,42.0551,59.3788,39.2,4.61
64,Bubaque,1,GW,1612749890,62,11.2833,-15.8333,79.25,7.38
65,Nouadhibou,0,MR,1612749890,77,20.931,-17.0347,62.6,19.57
66,Ushuaia,75,AR,1612749891,81,-54.8,-68.3,50.0,4.61
67,Westport,90,US,1612749891,86,41.1415,-73.3579,30.2,3.44
68,Saint-Philippe,90,RE,1612749891,61,-21.3585,55.7679,80.6,8.05
69,Vanimo,100,PG,1612749891,62,-2.6741,141.3028,86.56,2.15
70,Tuatapere,100,NZ,1612750039,58,-46.1333,167.6833,68.67,4.25
71,Hobart,75,AU,1612749611,51,-42.8794,147.3294,64.99,12.66
72,Ust'-Kan,46,RU,1612749892,92,50.9276,84.761,18.0,6.76
